Company Name,Category,Sub-Category,Hall,LinkedIn URL
Fortinet,Corporate,International,15,https://www.linkedin.com/company/fortinet/
Codespire Solutions India Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/codespire-solutions-india/
Rodic Consultants Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/rodic-consultants/
Innefu Labs Limited,Corporate,Domestic,15,https://www.linkedin.com/company/innefu-labs-limited/
IBM,Corporate,International,15,https://www.linkedin.com/company/ibm/
Linkedin,Corporate,Domestic,15,https://www.linkedin.com/company/linkedin/
Ministry of Skill Development and Entrepreneurship,Government,,15,https://www.linkedin.com/company/ministry-of-skill-development-and-entrepreneurship/
Angelbot AI Pvt Ltd,Startup,,15,https://www.linkedin.com/company/angelbot-ai/
Minaions Pvt Ltd,Startup,,15,https://www.linkedin.com/company/minaions/
Kenpath technologies Pvt Ltd,Startup,,15,https://www.linkedin.com/company/kenpath-technologies/
T4G Lab,Startup,,15,https://www.linkedin.com/company/t4g-lab/
Gazelle Information Technologies,Startup,,15,https://www.linkedin.com/company/gazelle-information/
Sambanova Systems India Pvt Ltd,Startup,,15,https://www.linkedin.com/company/sambanova-systems-india/
Soket Labs Technology and Research Pvt Ltd,Startup,,15,https://www.linkedin.com/company/soket-labs-technology-and-research/
Qualcomm India Pvt Limited,Corporate,International,15,https://www.linkedin.com/company/qualcomm-india-pvt-limited/
Infosys,Corporate,Domestic,15,https://www.linkedin.com/company/infosys/
Vertiv,Corporate,Domestic,15,https://www.linkedin.com/company/vertiv/
Schneider Electric,Corporate,Domestic,15,https://www.linkedin.com/company/schneider-electric/
Cognizant Technology Solutions,Corporate,Domestic,15,https://www.linkedin.com/company/cognizant-technology/
Intellect Design Arena,Corporate,Domestic,15,https://www.linkedin.com/company/intellect-design-arena/
ServiceNow Software Development India Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/servicenow-software-development-india/
Wadhwani Foundation,Research,,15,https://www.linkedin.com/company/wadhwani-foundation/
Wadhwani AI,Research,,15,https://www.linkedin.com/company/wadhwani-ai/
Accenture,Corporate,International,15,https://www.linkedin.com/company/accenture/
Accenture LearnVantage,Academia,,15,https://www.linkedin.com/company/accenture-learnvantage/
Iconova Creative Outreach Network Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/iconova-creative-outreach-network/
Arista Networks,Corporate,Domestic,15,https://www.linkedin.com/company/arista-networks/
Razorpay,Corporate,International,15,https://www.linkedin.com/company/razorpay/
Plivo,Corporate,Domestic,15,https://www.linkedin.com/company/plivo/
Turiya Semiconductors Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/turiya-semiconductors/
Vast Data,Corporate,International,15,https://www.linkedin.com/company/vast-data/
Xlscout Xlpat India Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/xlscout-xlpat-india/
Axis My India,Corporate,Domestic,15,https://www.linkedin.com/company/axis-my/
Indian Institute of Technology Madras,Academia,,15,https://www.linkedin.com/company/indian-institute-of-technology-madras/
Galgotias University,Academia,,15,https://www.linkedin.com/company/galgotias-university/
Mirror Security Pvt Ltd,Startup,,15,https://www.linkedin.com/company/mirror-security/
Rec Limited Rural Electrification Corp Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/rec-limitedrural-electrification-corp-ltd/
Coal India Limited CMPDI,Government,,15,https://www.linkedin.com/company/coal-india-limited-brcmpdi/
